Week starting (Wythnos yn dechrau),Week ending (Wythnos yn gorffen),Country (Wlad),Check-ins (Cofrestriadau),Symptoms reported (Symptomau a adroddwyd),Positive test results linked to app (Canlyniadau prawf positif),Negative test results linked to app (Canlyniadau prawf negatif),Contact tracing alert (Hysbysiadau olrhain cyswllt),Positive PCR test results linked to app (Canlyniadau prawf PCR positif cysylltiedig i ap),Positive LFD test results linked to app (Canlyniadau prawf LFD positif cysylltiedig i ap),Cumulative check-ins (Cofrestriadau cronnus),Cumulative symptoms reported (Symptomau a adroddwyd cronnus),Cumulative positive test results linked to app (Canlyniadau prawf positif cronnus),Cumulative negative test results linked to app (Canlyniadau prawf negatif cronnus),Cumulative contact tracing alert (Hysbysiadau olrhain cyswllt cronnus),Cumulative Positive PCR test results linked to app (Canlyniadau prawf PCR positif cronnol cysylltiedig i ap),Cumulative Positive LFD test results linked to app (Canlyniadau prawf LFD positif cronnol cysylltiedig i ap)
2021-09-09,2021-09-15,England / Lloegr,456466,11200,52217,159176,133686,41331,11971,252552607,1914007,2000180,6380073,6570017,1738175,290259
2021-09-09,2021-09-15,Wales / Cymru,19399,967,5765,13646,9421,4859,992,4834525,101057,88023,325304,190270,81392,7045
2021-09-16,2021-09-22,England / Lloegr,389455,11892,52223,161162,120017,40061,13259,252942062,1925899,2052403,6541235,6690034,1778236,303518
2021-09-16,2021-09-22,Wales / Cymru,17680,1103,6190,15516,9295,5190,1112,4852205,102160,94213,340820,199565,86582,8157
2021-09-23,2021-09-29,England / Lloegr,317740,12060,57796,162259,134869,45332,13778,253259802,1937959,2110199,6703494,6824903,1823568,317296
2021-09-23,2021-09-29,Wales / Cymru,15123,1079,6595,16102,11771,5582,1110,4867328,103239,100808,356922,211336,92164,9267
2021-09-30,2021-10-06,England / Lloegr,269416,11068,38880,87885,117919,33557,5754,253529218,1949027,2149079,6791379,6942822,1857125,323050
2021-09-30,2021-10-06,Wales / Cymru,13312,856,3685,8461,7223,3369,342,4880640,104095,104493,365383,218559,95533,9609
2021-10-07,2021-10-13,England / Lloegr,247981,11298,42521,85280,132466,36738,6225,253777199,1960325,2191600,6876659,7075288,1893863,329275
2021-10-07,2021-10-13,Wales / Cymru,12284,900,3621,7257,7476,3263,381,4892924,104995,108114,372640,226035,98796,9990
2021-10-14,2021-10-20,England / Lloegr,221270,11125,51784,107873,157895,42897,9506,253998469,1971450,2243384,6984532,7233183,1936760,338781
2021-10-14,2021-10-20,Wales / Cymru,11124,925,4517,8787,10651,4046,511,4904048,105920,112631,381427,236686,102842,10501
2021-10-21,2021-10-27,England / Lloegr,219069,10166,69473,122154,197539,56316,14799,254217538,1981616,2312857,7106686,7430722,1993076,353580
2021-10-21,2021-10-27,Wales / Cymru,10963,767,5790,9118,11117,5146,712,4915011,106687,118421,390545,247803,107988,11213
2021-10-28,2021-11-03,England / Lloegr,184711,9576,72823,111018,192847,58503,16071,254402249,1991192,2385680,7217704,7623569,2051579,369651
2021-10-28,2021-11-03,Wales / Cymru,9827,756,5412,8705,10981,4771,749,4924838,107443,123833,399250,258784,112759,11962
2021-11-04,2021-11-10,England / Lloegr,164459,9209,61011,98784,166267,48146,14349,254566708,2000401,2446691,7316488,7789836,2099725,384000
2021-11-04,2021-11-10,Wales / Cymru,8815,711,4467,8026,9635,3899,638,4933653,108154,128300,407276,268419,116658,12600
2021-11-11,2021-11-17,England / Lloegr,150186,9178,66106,99044,174949,51369,16308,254716894,2009579,2512797,7415532,7964785,2151094,400308
2021-11-11,2021-11-17,Wales / Cymru,8294,819,4907,8049,9774,4291,695,4941947,108973,133207,415325,278193,120949,13295
2021-11-18,2021-11-24,England / Lloegr,137968,9637,73170,111221,202931,57601,17270,254854862,2019216,2585967,7526753,8167716,2208695,417578
2021-11-18,2021-11-24,Wales / Cymru,7888,672,4093,8025,9753,3554,596,4949835,109645,137300,423350,287946,124503,13891
2021-11-25,2021-12-01,England / Lloegr,141619,11073,77020,117395,218226,60125,18760,254996481,2030289,2662987,7644148,8385942,2268820,436338
2021-11-25,2021-12-01,Wales / Cymru,7346,660,4374,7976,10798,3730,715,4957181,110305,141674,431326,298744,128233,14606
2021-12-02,2021-12-08,England / Lloegr,152214,12556,89677,139706,255171,70169,21608,255148695,2042845,2752664,7783854,8641113,2338989,457946
2021-12-02,2021-12-08,Wales / Cymru,7137,747,4488,8840,11744,3868,696,4964318,111052,146162,440166,310488,132101,15302
2021-12-09,2021-12-15,England / Lloegr,170881,18836,135637,174627,443900,100436,38523,255319576,2061681,2888301,7958481,9085013,2439425,496469
2021-12-09,2021-12-15,Wales / Cymru,7411,886,5230,9983,14986,4473,859,4971729,111938,151392,450149,325474,136574,16161
2021-12-16,2021-12-22,England / Lloegr,158029,21105,235648,196669,673408,180364,61032,255477605,2082786,3123949,8155150,9758421,2619789,557501
2021-12-16,2021-12-22,Wales / Cymru,7089,976,8396,11918,26068,7147,1403,4978818,112914,159788,462067,351542,143721,17564
2021-12-23,2021-12-29,England / Lloegr,85511,24347,323101,117582,556730,229727,100169,255563116,2107133,3447050,8272732,10315151,2849516,657670
2021-12-23,2021-12-29,Wales / Cymru,10626,1645,18724,8504,31533,15116,3976,4989444,114559,178512,470571,383075,158837,21540
2021-12-30,2022-01-05,England / Lloegr,105091,31344,453718,105851,574497,311361,151766,255668207,2138477,3900768,8378583,10889648,3160877,809436
2021-12-30,2022-01-05,Wales / Cymru,16550,1749,26713,8467,30109,21356,5921,5005994,116308,205225,479038,413184,180193,27461
2022-01-06,2022-01-12,England / Lloegr,114412,16415,344324,96546,453575,237257,92672,255782619,2154892,4245092,8475129,11343223,3398134,902108
2022-01-06,2022-01-12,Wales / Cymru,18649,820,13581,4797,17128,8191,4702,5024643,117128,218806,483835,430312,188384,32163
2022-01-13,2022-01-19,England / Lloegr,106199,10865,185660,48771,336462,81010,430,255888818,2165757,4430752,8523900,11679685,3479144,902538
2022-01-13,2022-01-19,Wales / Cymru,18358,445,7476,2202,11184,3103,25,5043001,117573,226282,486037,441496,191487,32188
2022-01-20,2022-01-26,England / Lloegr,85871,9477,178829,41395,333902,66321,540,255974689,2175234,4609581,8565295,12013587,3545465,903078
2022-01-20,2022-01-26,Wales / Cymru,15457,523,8281,1922,12112,3282,20,5058458,118096,234563,487959,453608,194769,32208
2022-01-27,2022-02-02,England / Lloegr,70630,9864,176141,38555,374386,62649,370,256045319,2185098,4785722,8603850,12387973,3608114,903448
2022-01-27,2022-02-02,Wales / Cymru,7891,491,8529,1856,14221,3086,15,5066349,118587,243092,489815,467829,197855,32223
2022-02-03,2022-02-09,England / Lloegr,61622,7715,146337,34446,351568,51938,325,256106941,2192813,4932059,8638296,12739541,3660052,903773
2022-02-03,2022-02-09,Wales / Cymru,5250,444,7774,1740,15291,2532,10,5071599,119031,250866,491555,483120,200387,32233
2022-02-10,2022-02-16,England / Lloegr,52421,6088,107773,26052,289196,36020,1186,256159362,2198901,5039832,8664348,13028737,3696072,904959
2022-02-10,2022-02-16,Wales / Cymru,4047,397,6090,1408,13633,1868,25,5075646,119428,256956,492963,496753,202255,32258
2022-02-17,2022-02-23,England / Lloegr,37254,5126,87477,17582,217944,27824,19231,256196616,2204027,5127309,8681930,13246681,3723896,924190
2022-02-17,2022-02-23,Wales / Cymru,2786,267,4902,976,9301,1257,15,5078432,119695,261858,493939,506054,203512,32273
